id,book_name,character,label,confidence,evidence_1,evidence_2,evidence_3
95,The Count of Monte Cristo,Noirtier,0,0.6692,"Noirtier sent for the notary; the first will was torn
up and a second made, in which he left the whole of his fortune to
Valentine, on condition that she should never be separated from him. It
was then generally reported that Mademoiselle de Villefort, the heiress
of the marquis and marchioness of Saint-Méran, had regained the good
graces of her grandfather, and that she would ultimately be in
possession of an income of 300,000 livres. While all the proceedings relative to the dissolution of the
marriage-contract were being carried on at the house of M. de
Villefort, Monte Cristo had paid his visit to the Count of Morcerf,
who, in order to lose no time in responding to M. Danglars’ wishes, and
at the same time to pay all due deference to his position in society,
donned his uniform of lieutenant-general, which he ornamented with all
his crosses, and thus attired, ordered his finest horses and drove to
the Rue de la Chaussée d’Antin.","Villefort sprang into the room, ran to Valentine, and took her in his
arms. “A physician, a physician,—M. d’Avrigny!” cried Villefort; “or rather I
will go for him myself.”

He flew from the apartment, and Morrel at the same moment darted out at
the other door. He had been struck to the heart by a frightful
recollection—the conversation he had heard between the doctor and
Villefort the night of Madame de Saint-Méran’s death, recurred to him;
these symptoms, to a less alarming extent, were the same which had
preceded the death of Barrois. At the same time Monte Cristo’s voice
seemed to resound in his ear with the words he had heard only two hours
before, “Whatever you want, Morrel, come to me; I have great power.”

More rapidly than thought, he darted down the Rue Matignon, and thence
to the Avenue des Champs-Élysées. Meanwhile M. de Villefort arrived in a hired cabriolet at M. d’Avrigny’s door. He rang so violently that the porter was alarmed. Villefort ran upstairs without saying a word.","The assizes, also, were about to begin, and
Villefort, shut up in his room, exerted himself with feverish anxiety
in drawing up the case against the murderer of Caderousse. This affair,
like all those in which the Count of Monte Cristo had interfered,
caused a great sensation in Paris. The proofs were certainly not
convincing, since they rested upon a few words written by an escaped
galley-slave on his death-bed, and who might have been actuated by
hatred or revenge in accusing his companion. But the mind of the
procureur was made up; he felt assured that Benedetto was guilty, and
he hoped by his skill in conducting this aggravated case to flatter his
self-love, which was about the only vulnerable point left in his frozen
heart. The case was therefore prepared owing to the incessant labor of
Villefort, who wished it to be the first on the list in the coming
assizes."
136,The Count of Monte Cristo,Faria,1,0.9824,"He was for some
time without reflection or thought for the divine charm which is in the
things of nature, specially after a fantastic dream; then gradually
this view of the outer world, so calm, so pure, so grand, reminded him
of the illusiveness of his vision, and once more awakened memory. He
recalled his arrival on the island, his presentation to a smuggler
chief, a subterranean palace full of splendor, an excellent supper, and
a spoonful of hashish. It seemed, however, even in the very face of open day, that at least a
year had elapsed since all these things had passed, so deep was the
impression made in his mind by the dream, and so strong a hold had it
taken of his imagination. Thus every now and then he saw in fancy amid
the sailors, seated on a rock, or undulating in the vessel, one of the
shadows which had shared his dream with looks and kisses.","Yet thither it was that Dantès guided his vessel, and at Monte Cristo
he arrived at the close of the second day; his boat had proved herself
a first-class sailor, and had come the distance from Genoa in
thirty-five hours. Dantès had carefully noted the general appearance of
the shore, and, instead of landing at the usual place, he dropped
anchor in the little creek. The island was utterly deserted, and bore
no evidence of having been visited since he went away; his treasure was
just as he had left it. Early on the following morning he commenced the removal of his riches,
and ere nightfall the whole of his immense wealth was safely deposited
in the compartments of the secret locker. A week passed by. Dantès employed it in manœuvring his yacht round the
island, studying it as a skilful horseman would the animal he destined
for some important service, till at the end of that time he was
perfectly conversant with its good and bad qualities.","Two months and a half elapsed in these trips, and Edmond had become as
skilful a coaster as he had been a hardy seaman; he had formed an
acquaintance with all the smugglers on the coast, and learned all the
Masonic signs by which these half pirates recognize each other. He had
passed and re-passed his Island of Monte Cristo twenty times, but not
once had he found an opportunity of landing there. He then formed a resolution. As soon as his engagement with the patron
of _La Jeune Amélie_ ended, he would hire a small vessel on his own
account—for in his several voyages he had amassed a hundred
piastres—and under some pretext land at the Island of Monte Cristo. Then he would be free to make his researches, not perhaps entirely at
liberty, for he would be doubtless watched by those who accompanied
him. But in this world we must risk something. Prison had made Edmond
prudent, and he was desirous of running no risk whatever."
59,In Search of the Castaways,Thalcave,0,0.5363,"The
declivity then sloped quite gently to the base of the mountain, from
which point the captives could quickly gain the lower valleys, while
the Maoris, if they chanced to discover their flight, would be forced
to make a very long détour, since they were not aware of the passage
that had been dug in the mountain. [Illustration: First her husband, and then she, slid down the rope to
the point where the perpendicular wall met the summit of the slope.]

They now prepared to escape, and every precaution was taken to insure
their success. The captives crawled one by one through the narrow
passage, and found themselves in the grotto. Captain Mangles, before
leaving the hut, concealed all traces of their work, and glided in his
turn through the opening, which he closed with the mats. Their outlet
was therefore entirely hidden. The object now was to descend the perpendicular wall of rock, which
would have been impossible if Robert had not brought the flax rope.","The
darkness below was still profound, but the gray light of dawn was
already tinging the top of the mountain. The keen cold of the morning
reanimated the young wife; she felt stronger, and commenced her
perilous escape. First her husband, and then she, slid down the rope to the point where
the perpendicular wall met the summit of the slope. Then Glenarvan,
going before his wife and assisting her, began to descend the
declivity of the mountain backwards. He sought for tufts of grass and
bushes that offered a point of support, and tried them before placing
Lady Helena's feet upon them. Several birds, suddenly awakened, flew
away with shrill cries, and the fugitives shuddered when a large stone
rolled noisily to the base of the mountain. They had accomplished half the distance when a voice was heard at the
opening of the grotto. ""Stop!"" whispered Captain Mangles. Glenarvan, clinging with one hand to a tuft of grass and holding his
wife with the other, waited, scarcely breathing.","After the great danger that he had just escaped, Robert incurred
another, no less great,--that of being overwhelmed with caresses. However feeble he was still, not one of these good people could refrain
from pressing him to his heart. But it must be confessed that these
well-meant embraces are not fatal, for the boy did not die. When his rescue was certain, thought reverted to his rescuer, and the
major very naturally thought of looking around him. Fifty paces from
the stream, a man of lofty stature was standing, motionless, on one
of the first ledges of the mountain. A long gun lay at his feet. This
individual, who had so suddenly appeared, had broad shoulders, and
long hair tied with leathern thongs. His height exceeded six feet, and
his bronzed face was red between his eyes and mouth, black below his
eyelids, and white on his forehead."
60,In Search of the Castaways,Thalcave,0,0.756,"Here
a good fire was burning, which revived them, and on the coals were
roasting succulent slices of venison, to which they did ample justice. And when their refreshed minds began to reflect, they could scarcely
believe that they had escaped so many perils,--the fire, the water, and
the formidable alligators. Thalcave, in a few words, told his story to Paganel, and ascribed to
his intrepid horse all the honor of having saved him. Paganel then
endeavored to explain to him the new interpretation of the document,
and the hopes it led them to entertain. Did the Indian understand the
geographer's ingenious suppositions? It was very doubtful; but he saw
his friends happy and very confident, and he desired nothing more. It may be easily believed that these courageous travelers, after their
day of rest on the tree, needed no urging to resume their journey. At
eight o'clock in the morning they were ready to start.","Glenarvan,
Paganel, the major, Austin, and Mulready were seated astraddle, or
dangling in the branches, according to their own inclinations. Wilson
gave an account of their visit to the top of the tree. All shared his
opinion in regard to Thalcave. The only question was, whether Thalcave
would save Thaouka, or Thaouka Thalcave. The present situation of these refugees was undeniably insecure. The
tree would not probably give way to the force of the current, but the
rising waters might reach the top branches, for the depression of
the soil made this part of the plain a deep reservoir. Glenarvan's
first care, therefore, was to establish, by means of notches, points
of comparison which enabled him to note the different heights of the
water. The flood was now stationary, and it appeared to have reached
its greatest elevation. This was encouraging. ""And now what shall we do?"" asked Glenarvan. ""Build our nest, of course,"" replied Paganel. ""Build our nest!"" cried Robert.","He even learned that his name was Thalcave, a word which
signifies in Araucanian ""the thunderer."" This surname was doubtless
given to him for his skill in the use of fire-arms. But Glenarvan was particularly rejoiced to discover that the Patagonian
was a guide, and, moreover, a guide of the Pampas. There was,
therefore, something so providential in this meeting that the success
of the enterprise seemed already an accomplished fact, and no one any
longer doubted the rescue of Captain Grant. In the meantime the travelers and the Patagonian had returned to
Robert. The latter stretched his arms towards the native, who, without
a word, placed his hand upon his head. He examined the child and felt
his wounded limbs. Then, smiling, he went and gathered on the banks
of the stream a few handfuls of wild celery, with which he rubbed the
boy's body."
124,The Count of Monte Cristo,Faria,1,0.634,"“Ah, you see, Danglars,” said Caderousse, winking at his friend, “this
is how it is; Fernand, whom you see here, is a good and brave Catalan,
one of the best fishermen in Marseilles, and he is in love with a very
fine girl, named Mercédès; but it appears, unfortunately, that the fine
girl is in love with the mate of the _Pharaon_; and as the _Pharaon_
arrived today—why, you understand!”

“No; I do not understand,” said Danglars. “Poor Fernand has been dismissed,” continued Caderousse. “Well, and what then?” said Fernand, lifting up his head, and looking
at Caderousse like a man who looks for someone on whom to vent his
anger; “Mercédès is not accountable to any person, is she? Is she not
free to love whomsoever she will?”

“Oh, if you take it in that sense,” said Caderousse, “it is another
thing. But I thought you were a Catalan, and they told me the Catalans
were not men to allow themselves to be supplanted by a rival.","“I waited patiently, not to overhear what they said, but because I
could do nothing else; besides, the same thing had occurred often
before. The man who was with Caderousse was evidently a stranger to the
South of France; he was one of those merchants who come to sell
jewellery at the Beaucaire fair, and who during the month the fair
lasts, and during which there is so great an influx of merchants and
customers from all parts of Europe, often have dealings to the amount
of 100,000 to 150,000 francs. Caderousse entered hastily. Then, seeing
that the room was, as usual, empty, and only guarded by the dog, he
called to his wife, ‘Hello, Carconte,’ said he, ‘the worthy priest has
not deceived us; the diamond is real.’

“An exclamation of joy was heard, and the staircase creaked beneath a
feeble step. ‘What do you say?’ asked his wife, pale as death. “‘I say that the diamond is real, and that this gentleman, one of the
first jewellers of Paris, will give us 50,000 francs for it.","“It was very polite of you.”

“Come,” said Andrea, “what do you want?”

“You do not speak affectionately to me, Benedetto, my old friend, that
is not right—take care, or I may become troublesome.”

This menace smothered the young man’s passion. He urged the horse again
into a trot. “You should not speak so to an old friend like me, Caderousse, as you
said just now; you are a native of Marseilles, I am——”

“Do you know then now what you are?”

“No, but I was brought up in Corsica; you are old and obstinate, I am
young and wilful. Between people like us threats are out of place,
everything should be amicably arranged. Is it my fault if fortune,
which has frowned on you, has been kind to me?”

“Fortune has been kind to you, then? Your tilbury, your groom, your
clothes, are not then hired? Good, so much the better,” said
Caderousse, his eyes sparkling with avarice. “Oh, you knew that well enough before speaking to me,” said Andrea,
becoming more and more excited."
111,The Count of Monte Cristo,Noirtier,0,0.7677,"Observe,” said Villefort, smiling, “I do not mean to deny that both
these men were revolutionary scoundrels, and that the 9th Thermidor and
the 4th of April, in the year 1814, were lucky days for France, worthy
of being gratefully remembered by every friend to monarchy and civil
order; and that explains how it comes to pass that, fallen, as I trust
he is forever, Napoleon has still retained a train of parasitical
satellites. Still, marquise, it has been so with other
usurpers—Cromwell, for instance, who was not half so bad as Napoleon,
had his partisans and advocates.”

“Do you know, Villefort, that you are talking in a most dreadfully
revolutionary strain? But I excuse it, it is impossible to expect the
son of a Girondin to be free from a small spice of the old leaven.” A
deep crimson suffused the countenance of Villefort.","However, scarcely was the imperial power established—that is, scarcely
had the emperor re-entered the Tuileries and begun to issue orders from
the closet into which we have introduced our readers,—he found on the
table there Louis XVIII.’s half-filled snuff-box,—scarcely had this
occurred when Marseilles began, in spite of the authorities, to
rekindle the flames of civil war, always smouldering in the south, and
it required but little to excite the populace to acts of far greater
violence than the shouts and insults with which they assailed the
royalists whenever they ventured abroad. Owing to this change, the worthy shipowner became at that moment—we
will not say all powerful, because Morrel was a prudent and rather a
timid man, so much so, that many of the most zealous partisans of
Bonaparte accused him of “moderation”—but sufficiently influential to
make a demand in favor of Dantès. Villefort retained his place, but his marriage was put off until a more
favorable opportunity.","Until then he had been sustained by rage,
by his strength of mind, by despair, by the supreme agony which led the
Titans to scale the heavens, and Ajax to defy the gods. He now arose,
his head bowed beneath the weight of grief, and, shaking his damp,
dishevelled hair, he who had never felt compassion for anyone
determined to seek his father, that he might have someone to whom he
could relate his misfortunes,—someone by whose side he might weep. He descended the little staircase with which we are acquainted, and
entered Noirtier’s room. The old man appeared to be listening
attentively and as affectionately as his infirmities would allow to the
Abbé Busoni, who looked cold and calm, as usual. Villefort, perceiving
the abbé, passed his hand across his brow. The past came to him like
one of those waves whose wrath foams fiercer than the others."
135,The Count of Monte Cristo,Faria,1,0.6607,"He was still young—he was only
four or five-and-twenty—he had nearly fifty years to live. What
unforseen events might not open his prison door, and restore him to
liberty? Then he raised to his lips the repast that, like a voluntary
Tantalus, he refused himself; but he thought of his oath, and he would
not break it. He persisted until, at last, he had not sufficient
strength to rise and cast his supper out of the loophole. The next
morning he could not see or hear; the jailer feared he was dangerously
ill. Edmond hoped he was dying. Thus the day passed away. Edmond felt a sort of stupor creeping over
him which brought with it a feeling almost of content; the gnawing pain
at his stomach had ceased; his thirst had abated; when he closed his
eyes he saw myriads of lights dancing before them like the
will-o’-the-wisps that play about the marshes. It was the twilight of
that mysterious country called Death!","Ah, my friend!” said the abbé,
turning towards Dantès, and surveying him with the kindling gaze of a
prophet, “you are young, you will see all this come to pass.”

“Probably, if ever I get out of prison!”

“True,” replied Faria, “we are prisoners; but I forget this sometimes,
and there are even moments when my mental vision transports me beyond
these walls, and I fancy myself at liberty.”

“But wherefore are you here?”

“Because in 1807 I dreamed of the very plan Napoleon tried to realize
in 1811; because, like Machiavelli, I desired to alter the political
face of Italy, and instead of allowing it to be split up into a
quantity of petty principalities, each held by some weak or tyrannical
ruler, I sought to form one large, compact, and powerful empire; and,
lastly, because I fancied I had found my Cæsar Borgia in a crowned
simpleton, who feigned to enter into my views only to betray me. It was
the plan of Alexander VI.","Then
an invincible and extreme terror seized upon him, and he dared not
again press the hand that hung out of bed, he dared no longer to gaze
on those fixed and vacant eyes, which he tried many times to close, but
in vain—they opened again as soon as shut. He extinguished the lamp,
carefully concealed it, and then went away, closing as well as he could
the entrance to the secret passage by the large stone as he descended. It was time, for the jailer was coming. On this occasion he began his
rounds at Dantès’ cell, and on leaving him he went on to Faria’s
dungeon, taking thither breakfast and some linen. Nothing betokened
that the man knew anything of what had occurred. He went on his way. Dantès was then seized with an indescribable desire to know what was
going on in the dungeon of his unfortunate friend. He therefore
returned by the subterraneous gallery, and arrived in time to hear the
exclamations of the turnkey, who called out for help."
27,In Search of the Castaways,Tom Ayrton/Ben Joyce,1,0.8658,"At last, puzzled by its persistence, he put his ear close
to the ground to hear better. It seemed as if some one was scraping and
digging outside. When he was certain of this fact, he passed quietly towards Glenarvan
and the captain, and led them to the rear of the hut. ""Listen,"" said he, in a low voice, motioning to them to bend down. The scrapings became more and more audible. They could hear the little
stones grate under the pressure of a sharp instrument and fall down
outside. ""Some creature in its burrow,"" said Captain Mangles. Glenarvan, with bewildered gaze, stood astonished. ""Who knows,"" said he, ""but that it is a man?""

""Man or animal,"" replied the major, ""I will know what is going on.""

Wilson and Olbinett joined their companions, and all began to dig in
the wall, the captain with his poniard, the others with stones pulled
out of the ground, or with their nails, while Mulready, stretched on
the earth, watched the group of natives through the loop-hole of the
mat.","While reflecting on the dangers of his situation, the young captain,
leaning against the binnacle, listened to the roar of the surf. He
strove to pierce the dense darkness, and estimate how far he was from
that desired yet dreaded coast. Breakers are frequently heard several
leagues at sea. Could the frail cutter weather so long a voyage in her
present shattered state? While he was thinking thus, and longing for a little light in the
gloomy sky, the ladies, relying upon his words, were reposing in their
berths. The steadiness of the brig secured them several hours of rest. Glenarvan and the others, no longer hearing the cries of the drunken
crew, refreshed themselves also by a hasty sleep, and, early in the
morning, deep silence reigned on board this vessel, which had sunk to
rest, as it were, upon her bed of sand. About four o'clock the first light appeared in the east. The clouds
were delicately tinged by the pale rays of the dawn. Captain Mangles
came on deck.","He had seen them at Glasgow
on the departure of the Britannia. He remembered that they had been
present at the farewell dinner given on board to the friends of the
captain. Sheriff MacIntyre was one of the guests. Robert--scarcely
ten years old--had been confided to the care of Dick Turner, the
boatswain, but had escaped from him and climbed to the top-sail
yard-arm. [Illustration: At last, exhausted and almost dead, he reached the
hospitable dwelling of Mr. O'Moore, where his labor insured him a
comfortable livelihood.]

""It is true! it is true!"" cried Robert. The quartermaster remembered, too, a thousand little circumstances
to which he did not seem to attach so much importance as did Captain
Mangles. When he stopped, Mary said, in her sweet voice,--

""Mr. Ayrton, please tell us more about our father.""

Ayrton acceded to the young girl's request. Glenarvan was reluctant to
interrupt him, and yet many more important questions thronged his mind."
110,The Count of Monte Cristo,Noirtier,1,0.9455,"Villefort had
secluded himself, not to study, but to reflect; and with the door
locked and orders given that he should not be disturbed excepting for
important business, he sat down in his armchair and began to ponder
over the events, the remembrance of which had during the last eight
days filled his mind with so many gloomy thoughts and bitter
recollections. Then, instead of plunging into the mass of documents piled before him,
he opened the drawer of his desk, touched a spring, and drew out a
parcel of cherished memoranda, amongst which he had carefully arranged,
in characters only known to himself, the names of all those who, either
in his political career, in money matters, at the bar, or in his
mysterious love affairs, had become his enemies.","“Well, Eugénie, what is it you want with me? and why in this solemn
drawing-room when the study is so comfortable?”

“I quite understand why you ask, sir,” said Eugénie, making a sign that
her father might be seated, “and in fact your two questions suggest
fully the theme of our conversation. I will answer them both, and
contrary to the usual method, the last first, because it is the least
difficult. I have chosen the drawing-room, sir, as our place of
meeting, in order to avoid the disagreeable impressions and influences
of a banker’s study. Those gilded cashbooks, drawers locked like gates
of fortresses, heaps of bank-bills, come from I know not where, and the
quantities of letters from England, Holland, Spain, India, China, and
Peru, have generally a strange influence on a father’s mind, and make
him forget that there is in the world an interest greater and more
sacred than the good opinion of his correspondents.","He was still comparatively young, he was
surrounded by the loving care of a devoted family, but he had convinced
himself by a course of reasoning, illogical perhaps, yet certainly
plausible, that he must separate himself from all he held dear in the
world, even life itself. To form the slightest idea of his feelings,
one must have seen his face with its expression of enforced resignation
and its tear-moistened eyes raised to heaven. The minute hand moved on. The pistols were loaded; he stretched forth his hand, took one up, and
murmured his daughter’s name. Then he laid it down, seized his pen, and
wrote a few words. It seemed to him as if he had not taken a sufficient
farewell of his beloved daughter. Then he turned again to the clock,
counting time now not by minutes, but by seconds. He took up the deadly weapon again, his lips parted and his eyes fixed
on the clock, and then shuddered at the click of the trigger as he
cocked the pistol."
42,In Search of the Castaways,Tom Ayrton/Ben Joyce,0,0.8242,"Bentock, Esq., consul of Her Britannic Majesty. This individual
received him very courteously, and when he learned the story of Captain
Grant undertook to search along the entire coast. The question whether the Britannia had been wrecked on the shores of
Chili or Araucania was decided in the negative. No report of such an
event had come either to the consul, or his colleagues in other parts
of the country. But Glenarvan was not discouraged. He returned to Talcahuana, and,
sparing neither fatigue, trouble, or money, he sent men to the coast,
but their search was in vain. The most minute inquiries among the
people of the vicinity were of no avail. They were forced to conclude
that the Britannia had left no trace of her shipwreck. Glenarvan then informed his companions of the failure of his endeavors. Mary Grant and her brother could not restrain their grief. It was now
six days since the arrival of the Duncan at Talcahuana. The passengers
were together in the cabin.","It was a
paper signed by the owners of the Britannia and Captain Grant, whose
writing Mary recognized immediately. It stated that ""Tom Ayrton, able
seaman, was engaged as quartermaster on board the brig Britannia of
Glasgow."" There was, therefore, no possible doubt of Ayrton's identity,
for it would have been difficult to suppose that this contract could be
in his hands and not belong to him. ""Now,"" said Glenarvan, ""I appeal to you all for advice as to what is
best to be done. Your advice, Ayrton, would be particularly valuable,
and I should be much obliged if you would give it to us.""

The sailor reflected a few moments, and then replied:

""I thank you, my lord, for the confidence you place in me, and hope to
show myself worthy of it. I have some knowledge of the country, and of
the customs of the natives; and, if I can be of use to you----""

""Certainly,"" replied Glenarvan.","But Lady Helena, pointing out to him Mary's joyful excitement, checked
his inquiries. The quartermaster now told the story of the Britannia and her voyage
across the Pacific. During the period of a year Harry Grant landed
at the principal ports of Oceanica, opposing unjustifiable captures,
and often a victim to the hostility of unjust traders. He found,
however, an important point on the western coast of Papua. Here the
establishment of a Scottish colony appeared to him feasible, and its
prosperity assured. After examining Papua, the Britannia sailed to
Callao for provisions, and left that port on the 30th of May, 1862, to
return to Europe by the way of the Indian Ocean and the Cape. Three
weeks after her departure, a terrible tempest disabled her. It became
necessary to cut away the masts. A leak was discovered in the hold,
which they did not succeed in stopping. The crew were soon overtasked
and exhausted. The pumps could not be worked. For eight days the
vessel was at the mercy of the storm."
